Threshold,TP,FP,FN,TN,TPR,FPR,PPV
0,105,66,46,1045,0.70,0.06,0.39
5,105,66,46,1045,0.70,0.06,0.39
10,105,66,46,1045,0.70,0.06,0.39
15,105,66,46,1045,0.70,0.06,0.39
20,105,66,46,1045,0.70,0.06,0.39
25,105,66,46,1045,0.70,0.06,0.39
30,105,66,46,1045,0.70,0.06,0.39
35,105,66,46,1045,0.70,0.06,0.39
40,105,66,46,1045,0.70,0.06,0.39
45,105,66,46,1045,0.70,0.06,0.39
50,105,66,46,1045,0.70,0.06,0.39
55,105,66,46,1045,0.70,0.06,0.39
60,105,66,46,1045,0.70,0.06,0.39
65,105,66,46,1045,0.70,0.06,0.39
70,105,66,46,1045,0.70,0.06,0.39
75,105,66,46,1045,0.70,0.06,0.39
80,105,66,46,1045,0.70,0.06,0.39
85,105,66,46,1045,0.70,0.06,0.39
90,105,66,46,1045,0.70,0.06,0.39
95,105,66,46,1045,0.70,0.06,0.39
100,105,66,46,1045,0.70,0.06,0.39
105,105,66,46,1045,0.70,0.06,0.39
110,105,66,46,1045,0.70,0.06,0.39
115,105,66,46,1045,0.70,0.06,0.39
120,105,66,46,1045,0.70,0.06,0.39
125,105,66,46,1045,0.70,0.06,0.39
130,105,66,46,1045,0.70,0.06,0.39
135,105,66,46,1045,0.70,0.06,0.39
140,105,66,46,1045,0.70,0.06,0.39
145,105,65,46,1046,0.70,0.06,0.38
150,105,65,46,1046,0.70,0.06,0.38
155,105,62,46,1049,0.70,0.06,0.37
160,105,62,46,1049,0.70,0.06,0.37
165,105,60,46,1051,0.70,0.05,0.36
170,105,58,46,1053,0.70,0.05,0.36
175,105,50,46,1061,0.70,0.05,0.32
180,105,41,46,1070,0.70,0.04,0.28
185,105,27,46,1084,0.70,0.02,0.20
190,104,17,47,1094,0.69,0.02,0.14
195,104,12,47,1099,0.69,0.01,0.10
200,104,8,47,1103,0.69,0.01,0.07
205,102,3,49,1108,0.68,0.00,0.03
210,98,1,53,1110,0.65,0.00,0.01
215,89,1,62,1110,0.59,0.00,0.01
220,81,1,70,1110,0.54,0.00,0.01
225,70,0,81,1111,0.46,0.00,0.00
230,50,0,101,1111,0.33,0.00,0.00
235,32,0,119,1111,0.21,0.00,0.00
240,21,0,130,1111,0.14,0.00,0.00
245,9,0,142,1111,0.06,0.00,0.00
250,2,0,149,1111,0.01,0.00,0.00
