Threshold,TP,FP,FN,TN,TPR,FPR,PPV
0,145,166,6,945,0.96,0.15,0.53
5,145,166,6,945,0.96,0.15,0.53
10,145,166,6,945,0.96,0.15,0.53
15,145,166,6,945,0.96,0.15,0.53
20,145,166,6,945,0.96,0.15,0.53
25,145,166,6,945,0.96,0.15,0.53
30,145,166,6,945,0.96,0.15,0.53
35,145,166,6,945,0.96,0.15,0.53
40,145,166,6,945,0.96,0.15,0.53
45,145,166,6,945,0.96,0.15,0.53
50,145,166,6,945,0.96,0.15,0.53
55,145,166,6,945,0.96,0.15,0.53
60,145,166,6,945,0.96,0.15,0.53
65,145,166,6,945,0.96,0.15,0.53
70,145,166,6,945,0.96,0.15,0.53
75,145,166,6,945,0.96,0.15,0.53
80,145,166,6,945,0.96,0.15,0.53
85,145,166,6,945,0.96,0.15,0.53
90,145,166,6,945,0.96,0.15,0.53
95,145,166,6,945,0.96,0.15,0.53
100,145,166,6,945,0.96,0.15,0.53
105,145,166,6,945,0.96,0.15,0.53
110,145,166,6,945,0.96,0.15,0.53
115,145,166,6,945,0.96,0.15,0.53
120,145,166,6,945,0.96,0.15,0.53
125,145,166,6,945,0.96,0.15,0.53
130,145,166,6,945,0.96,0.15,0.53
135,145,166,6,945,0.96,0.15,0.53
140,145,166,6,945,0.96,0.15,0.53
145,145,166,6,945,0.96,0.15,0.53
150,145,166,6,945,0.96,0.15,0.53
155,145,166,6,945,0.96,0.15,0.53
160,145,166,6,945,0.96,0.15,0.53
165,145,162,6,949,0.96,0.15,0.53
170,145,160,6,951,0.96,0.14,0.52
175,145,142,6,969,0.96,0.13,0.49
180,145,113,6,998,0.96,0.10,0.44
185,144,79,7,1032,0.95,0.07,0.35
190,143,44,8,1067,0.95,0.04,0.24
195,142,19,9,1092,0.94,0.02,0.12
200,141,9,10,1102,0.93,0.01,0.06
205,138,1,13,1110,0.91,0.00,0.01
210,134,0,17,1111,0.89,0.00,0.00
215,119,0,32,1111,0.79,0.00,0.00
220,104,0,47,1111,0.69,0.00,0.00
225,85,0,66,1111,0.56,0.00,0.00
230,64,0,87,1111,0.42,0.00,0.00
235,42,0,109,1111,0.28,0.00,0.00
240,30,0,121,1111,0.20,0.00,0.00
245,12,0,139,1111,0.08,0.00,0.00
250,3,0,148,1111,0.02,0.00,0.00
