Start Index,Stop Index,Start Time,End Time,X [m],Y [m],Z [m]
14,49,0.65,2.4,0.256064,-0.316698,-14.850183
109,142,5.4,7.05,0.067466,0.536124,-13.201827
206,238,10.25,11.85,-0.217162,0.081988,-12.399938
286,329,14.25,16.4,0.620282,-0.025468,-22.390909
378,407,18.85,20.3,0.325531,-0.030281,-10.653658
448,487,22.35,24.3,3.054094,-1.728742,-17.662994
622,663,31.05,33.1,-0.106901,-0.110559,-20.372381
742,775,37.05,38.7,-0.13283,0.117453,-13.269423
854,889,42.65,44.4,-0.655107,-4.136676,-12.600515
956,991,47.75,49.5,-0.598791,-13.440938,-2.957079
1059,1088,52.9,54.35,2.599228,-0.019205,-9.004156
1158,1195,57.85,59.7,14.997234,-0.016012,-2.800284
Total Distance:,,,,20.209107,-19.089014,-152.163346
,,,,,,
Start Index,Stop Index,Start Time,End Time,Pitch [radians],Roll [radians],Yaw [radians]
14,49,0.65,2.4,-0.017767,0.001065,-0.046859
109,142,5.4,7.05,0.00121,-0.015365,0.041551
206,238,10.25,11.85,-0.001187,-0.00968,-0.021367
286,329,14.25,16.4,-0.004582,0.002037,0.042248
378,407,18.85,20.3,0.160875,0.106606,-0.057485
448,487,22.35,24.3,-0.181188,-0.113467,0.050882
622,663,31.05,33.1,0.046811,-0.002195,1.506832
742,775,37.05,38.7,-0.001093,-0.00997,-1.505605
854,889,42.65,44.4,1.57538,-0.09729,-0.08077
956,991,47.75,49.5,-1.520516,0.008876,0.052772
1059,1088,52.9,54.35,-0.005122,1.702601,-0.073388
1158,1195,57.85,59.7,-0.038776,-1.604323,0.044563
Total Angular Rotation: ,,,,0.014047,-0.031105,-0.046625
