Start Index,Stop Index,Start Time,End Time,X Distance [m],Y Distance [m],Z Distance [m],Pitch Angular Rotation [radians],Roll Angular Rotation [radians],Yaw Angular Rotation [radians]
1,47,0.05,2.35,0.424855,-0.309118,0.291549,-0.019272,-0.000555,-0.044327
89,141,4.45,7.05,0.357843,0.629380,0.375452,0.002539,-0.017867,0.038788
187,236,9.35,11.80,-0.064238,0.152130,0.338348,0.000183,-0.012816,-0.014257
267,324,13.35,16.20,0.700663,0.065409,0.425180,-0.005523,0.006544,0.045546
358,404,17.90,20.20,0.473990,0.060119,-0.192751,0.143357,0.118713,-0.058568
429,483,21.45,24.15,5.465767,-4.485821,1.514768,-0.193499,-0.071909,0.062830
603,659,30.15,32.95,0.101527,-0.045698,0.400037,0.048665,-0.007404,1.430411
722,772,36.10,38.60,-0.136618,0.033465,0.235358,-0.001832,-0.009359,-1.449987
835,887,41.75,44.35,-0.584080,-3.699651,2.314884,1.534680,-0.096966,-0.075318
937,989,46.85,49.45,-1.235858,-31.605309,30.776347,-1.477273,0.005715,0.044579
1039,1086,51.95,54.30,2.313233,-0.011727,1.242071,-0.005476,1.664211,-0.075178
1140,1191,57.00,59.55,30.742137,-0.054042,32.248390,-0.048791,-1.645941,0.047745
